NIC,COMBO,STRB,WHEEL
4.55,16.52,2.85,A
4.48,4.45,9.55,A
8.38,6.38,7.53,A
14.03,17.23,4.67,A
8.75,34.57,12.15,A
5.72,4.75,18.32,A
5.88,6.95,7.72,A
15.08,1.4,3.72,A
8.78,6.38,0.65,A
2.92,7.05,3.58,A
10.97,3.97,5.3,A
5.73,3.75,7.42,A
1.68,3.08,16.72,A
10.65,5.53,11.63,A
5.3,0.6,5.67,A
2.8,3.78,5.55,A
15.05,3.52,1.95,A
1.15,1.78,1.07,A
0.87,4.77,2.32,A
10.65,6.73,6.45,A
3.52,2.13,6.97,A
2.02,8.92,2.47,A
7.6,13.98,5.83,A
6.02,18.2,3.78,A
10.88,24.28,7.4,A
8.87,32.52,7.4,A
3.1,16.27,2.03,A
15.35,16.32,4.58,A
12.85,7.13,6.12,A
8.67,2.58,4.57,A
45.58,8.4,8.62,A
2.48,7.9,6.35,A
1.2,12.18,6.82,A
1.28,2.2,6.1,A
2.23,13.95,2.43,A
1.98,10.98,5.57,A
2.75,10.83,4,A
1.9,9.72,13.22,A
1.07,0.82,5.95,A
2.27,1.68,7.33,A
2.75,5.08,9.68,A
1.2,4.2,2.93,A
1.97,3.77,6.77,A
3.3,1.92,15.15,A
1.52,6.5,12.47,A
2.07,5.12,16.23,A
2.52,2.3,8.72,A
2.88,2.73,6.72,A
2.35,8.52,6.97,A
1.18,1.18,13.02,A
0.83,7.12,2.6,A
2.43,8.35,4.13,A
5.77,2.93,2.03,A
1.53,0.92,1.35,A
2.33,1.8,4.88,A
2.12,1.18,1.87,A
1.27,1.22,2.17,A
1.78,3.52,1.62,A
1.75,1.43,5.85,A
2.07,7.93,2.27,A
4.92,2.18,4.42,A
1.7,0.87,7.75,A
2.9,1.65,7.38,A
3.22,0.85,7.05,A
2.27,5.2,1.78,A
4.58,13.85,1.2,A
2.2,6.47,4.08,A
2.28,13.15,6.38,A
1.65,9.73,3.92,A
15.02,12.62,2.78,A
6.28,9.87,6.23,A
7.13,12.35,3.08,A
7.68,13.07,5,A
13.27,10.65,3.27,A
22.05,25.05,0.92,A
11.08,11.45,3.23,A
21.23,40.03,4.93,A
4.9,14.58,6.72,A
11.68,11.12,3.6,A
5.15,16.52,1.55,A
7.53,17.05,2.03,A
49.43,10.17,7.33,A
48.25,7.15,1.23,A
12.85,9.83,20.6,A
10.47,4.28,6.43,A
6.17,2.22,1.53,A
17.25,7.98,1.58,A
9.8,5.68,6.53,A
12.98,4.07,7.08,A
6.15,1.68,13.88,A
5.5,13.12,8.87,A
8.92,3.6,4,A
8.35,4.68,16.8,A
2.5,2.17,5.9,A
12.02,1.75,16.3,A
6.78,4.52,4.87,A
3.18,5.57,14.7,A
7.88,9.68,36.62,A
8.77,14.02,34.92,A
2.3,21.72,6.08,A
1.1,23.92,39.32,A
0.9,27.27,22.15,A
0.73,10.42,7.15,A
8.3,5.82,10.15,A
5.8,13.72,9.03,A
7.22,11.85,4.6,A
10.72,2.03,9.12,A
8.4,7.53,8.6,A
32.25,22.83,10.98,A
11.27,18.33,11.4,A
23.97,69.07,10.47,A
12.4,3.38,11.6,A
9.77,1.38,13.75,A
13.08,3.65,7.62,A
14.3,2.42,6.73,A
12.15,4.33,5.78,A
16.8,1.83,2.75,A
4.45,7.85,6.17,A
10.13,6.4,6.1,A
11.47,1.77,2.03,A
1.73,1.9,5.83,A
8.8,1.07,4.75,A
0.58,1.72,4.97,A
1.28,2.77,10.15,A
25.82,1.33,1.87,A
2.45,4.18,5.93,A
0.67,4.42,4.45,A
2.12,6.38,16.03,A
2.77,6.05,17.08,A
2.1,3.85,5.42,A
3.13,4.85,11.17,A
1.23,6.73,2.82,A
0.9,4.17,3.77,A
1.3,1.92,6,A
0.88,16.33,1.77,A
1.63,6.68,7.45,A
0.65,13.73,4.77,A
0.98,10.23,3.48,A
1.2,13.33,6.08,A
1.2,14.77,9.62,A
0.73,33.5,9.53,A
0.7,27.57,4.28,A
1.72,15.8,13.97,A
2.43,9.9,6.68,A
1.55,12.43,11.65,A
1.1,18.97,7.65,A
0.62,9.02,3.38,A
0.72,9.05,3.22,A
1.05,6.2,17.28,A
1.1,6.97,5.58,A
1.83,10.03,17.08,A
1.97,1.4,15.92,A
0.9,1.47,17.37,A
0.98,9.2,15.03,A
2.02,7.42,5.15,A
4.48,7.02,3.35,A
1.43,2.55,5.18,A
0.98,7.58,1.42,A
1.5,1.88,3.55,A
1.13,1.58,2.6,A
5.12,3.62,2.83,A
3.97,1.87,2.9,A
1.55,2.45,1.57,A
1.77,10.57,3.37,A
1.63,9.55,1.78,A
6.9,34.17,1.87,A
1.17,18.13,2.93,A
0.9,18.77,1.8,A
5.77,10.28,3.17,A
1.8,18.3,2.27,A
6.42,19.33,1.88,A
6.87,0.97,1.22,A
3.15,21.6,2.47,A
6.8,19.25,1.2,A
10.07,19.4,3.28,A
9.03,1.2,1.7,A
8.55,1.78,3.62,A
10.45,5.3,2.05,A
6.52,5.62,5.62,A
5.55,4.6,3.52,A
6.45,2.47,2.82,A
1.78,3.37,3.17,A
13.15,2.92,3.1,A
5.98,3.77,3.02,A
43.1,4.68,1.37,A
10.85,5.28,0.73,A
61.67,4.07,1.02,A
9,1.57,1.27,A
5.48,6.27,1.05,A
9.5,4.68,0.63,A
11.82,1.38,0.6,A
